Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (normal to c-axis), s1from: http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_s1.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      16.4458       1.0907300     0.143550
      16.4855       1.0874701     0.147040
      16.5254       1.0571600     0.146860
      16.5655       1.0555800     0.182267
      16.6058       1.0784900     0.149340
      16.6463       1.0326700     0.126641
      16.6870       1.0045500     0.133190
      16.7279      0.97055101     0.124240
      16.7690      0.91935301     0.142929
      16.8104      0.90311098     0.182111
      16.8519      0.90903002     0.191000
      16.8936      0.89118201     0.168782
      16.9355      0.83886403     0.168400
      16.9776      0.80485201     0.187629
      17.0200      0.76567000     0.198980
      17.0625      0.73082000     0.217330
      17.1053      0.68190402     0.230869
      17.1482      0.63345999     0.263090
      17.1914      0.57870400     0.295736
      17.2348      0.52475798     0.350303
      17.2785      0.47116101     0.415619
      17.3223      0.43617699     0.505540
      17.3664      0.41288099     0.595225
      17.4107      0.41284201     0.702631
      17.4552      0.42905900     0.801425
      17.5000      0.47190100     0.910281
      17.5450      0.53158700      1.00537
      17.5902      0.63355201      1.10835
      17.6357      0.77795398      1.17178
      17.6814      0.98103797      1.16892
      17.7273       1.1385300      1.02545
      17.7734       1.1746800     0.846700
      17.8198       1.1219500     0.704718
      17.8665       1.0205400     0.617693
      17.9134      0.90862298     0.603012
      17.9605      0.82644397     0.622053
      18.0079      0.74711603     0.664706
      18.0556      0.70101798     0.737146
      18.1035      0.67791200     0.818375
      18.1516      0.70744503     0.904715
      18.2000      0.75783098     0.956620
      18.2487      0.84459502     0.987498
      18.2976      0.93484199     0.943364
      18.3468      0.97720599     0.837860
      18.3962      0.92937499     0.733106
      18.4459      0.84736300     0.668568
      18.4959      0.73154002     0.639722
      18.5462      0.61919099     0.668655
      18.5967      0.52770001     0.722320
      18.6475      0.45773199     0.798798
      18.6986      0.41139099     0.878529
      18.7500      0.38534001     0.958249
      18.8016      0.36375201      1.02778
      18.8536      0.35486999      1.10160
      18.9058      0.34246999      1.16135
      18.9583      0.33936000      1.23654
      19.0111      0.33910000      1.29164
      19.0643      0.33898100      1.36379
      19.1176      0.34810999      1.41655
      19.1714      0.34733999      1.48137
      19.2253      0.35710001      1.54034
      19.2797      0.36541000      1.60334
      19.3343      0.37391099      1.65985
      19.3892      0.38453901      1.72696
      19.4444      0.39507899      1.78609
      19.5000      0.41194001      1.86072
      19.5559      0.43326899      1.91853
      19.6121      0.45037001      1.99100
      19.6686      0.47550100      2.05777
      19.7254      0.50701803      2.13241
      19.7826      0.54081100      2.19312
      19.8401      0.57475197      2.26106
      19.8980      0.60657102      2.32110
      19.9561      0.63801003      2.38379
      20.0147      0.64612001      2.45712
      20.0735      0.68852001      2.56233
      20.1327      0.72746801      2.64728
      20.1923      0.79188198      2.75818
      20.2522      0.84974599      2.84503
      20.3125      0.93668902      2.95952
      20.3731       1.0033900      3.04470
      20.4341       1.1166101      3.19275
      20.4955       1.2477100      3.26649
      20.5572       1.3803900      3.38524
      20.6193       1.5288600      3.45377
      20.6818       1.6820900      3.58516
      20.7447       1.9166900      3.67030
      20.8079       2.1484301      3.72734
      20.8716       2.4173100      3.76564
      20.9356       2.7109599      3.73418
      21.0000       2.9791901      3.68716
      21.0648       3.2968900      3.58452
      21.1300       3.6187699      3.44043
      21.1957       3.9500599      3.08856
      21.2617       4.0617900      2.72512
      21.3281       4.1128602      2.31450
      21.3950       3.9633000      2.02220
      21.4623       3.8292601      1.82334
      21.5300       3.6679900      1.75698
      21.5981       3.6157899      1.71844
      21.6667       3.5618999      1.73638
      21.7357       3.6801600      1.73433
      21.8051       3.7582800      1.59858
      21.8750       3.8175001      1.44778
      21.9453       3.8020699      1.25304
      22.0161       3.7345700      1.11505
      22.0874       3.6904800      1.00611
      22.1591       3.6155000     0.876633
      22.2313       3.5426400     0.814940
      22.3039       3.4876699     0.702532
      22.3771       3.3774400     0.649860
      22.4507       3.3286700     0.597009
      22.5247       3.2325499     0.541482
      22.5993       3.1653600     0.529399
      22.6744       3.1164501     0.503290
      22.7500       3.0662100     0.469410
      22.8261       3.0067699     0.443299
      22.9027       2.9586899     0.422931
      22.9798       2.9043601     0.392610
      23.0574       2.8302901     0.384260
      23.1356       2.7905900     0.410789
      23.2143       2.7887101     0.399328
      23.2935       2.7524199     0.359769
      23.3733       2.7001100     0.348610
      23.4536       2.6697700     0.338629
      23.5345       2.6214900     0.317201
      23.6159       2.5748899     0.323350
      23.6979       2.5504999     0.319349
      23.7805       2.5112000     0.300940
      23.8636       2.4638700     0.297850
      23.9474       2.4175401     0.287780
      24.0317       2.3450501     0.301110
      24.1166       2.2936900     0.342092
      24.2021       2.2463000     0.413412
      24.2883       2.2958801     0.518469
      24.3750       2.4107299     0.498140
      24.4624       2.4402599     0.405066
      24.5504       2.3987801     0.324770
      24.6390       2.3396599     0.299340
      24.7283       2.2998500     0.276630
      24.8182       2.2423899     0.260210
      24.9088       2.1935000     0.263600
      25.0000       2.1488600     0.260130
      25.0919       2.0908999     0.272670
      25.1845       2.0548301     0.302800
      25.2778       2.0349600     0.326290
      25.3717       2.0281301     0.331210
      25.4664       2.0008299     0.321920
      25.5618       1.9765100     0.315439
      25.6579       1.9273300     0.290871
      25.7547       1.8549300     0.292391
      25.8523       1.7828000     0.317570
      25.9506       1.7268000     0.352810
      26.0496       1.6569700     0.382331
      26.1494       1.5715899     0.448194
      26.2500       1.4981600     0.564861
