Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (parallel to c-axis) from : http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_p.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      20.2522       3.6426599      1.66185
      20.3125       3.5431499      1.49148
      20.3731       3.4171801      1.36943
      20.4341       3.3152499      1.27176
      20.4955       3.2011199      1.18971
      20.5572       3.0879500      1.13145
      20.6193       2.9869800      1.11035
      20.6818       2.9195600      1.07841
      20.7447       2.8390200      1.04759
      20.8079       2.7744601      1.00655
      20.8716       2.6673000     0.952450
      20.9356       2.5345299     0.930910
      21.0000       2.3753099     0.942950
      21.0648       2.2082200      1.03244
      21.1300       2.1103201      1.19449
      21.1957       2.1016300      1.32934
      21.2617       2.0758801      1.41425
      21.3281       2.0177901      1.53740
      21.3950       1.9839700      1.73685
      21.4623       2.0482399      1.99199
      21.5300       2.2445500      2.23973
      21.5981       2.5782700      2.37746
      21.6667       2.9311299      2.34591
      21.7357       3.2271099      2.15150
      21.8051       3.3522601      1.90107
      21.8750       3.3695400      1.68333
      21.9453       3.3268600      1.59379
      22.0161       3.4040799      1.52702
      22.0874       3.4556401      1.37475
      22.1591       3.4557600      1.20603
      22.2313       3.3871000      1.08081
      22.3039       3.3483200     0.988910
      22.3771       3.2810099     0.895370
      22.4507       3.2166200     0.832600
      22.5247       3.1549001     0.787390
      22.5993       3.1098700     0.739300
      22.6744       3.0547099     0.702510
      22.7500       3.0182199     0.652020
      22.8261       2.9474001     0.609770
      22.9027       2.8975501     0.574640
      22.9798       2.8165500     0.543680
      23.0574       2.7618401     0.534250
      23.1356       2.6889999     0.509610
      23.2143       2.6205699     0.513140
      23.2935       2.5558600     0.511200
      23.3733       2.4915199     0.519690
      23.4536       2.4299800     0.532170
      23.5345       2.3821199     0.537430
      23.6159       2.3023701     0.522530
      23.6979       2.2013500     0.541810
      23.7805       2.0977800     0.569070
      23.8636       1.9696600     0.620710
      23.9474       1.8279901     0.710150
      24.0317       1.6718301     0.861200
      24.1166       1.5443799      1.10671
      24.2021       1.5109299      1.42587
      24.2883       1.5892600      1.76268
      24.3750       1.7831500      2.09358
      24.4624       2.1076000      2.37162
      24.5504       2.5676200      2.52860
      24.6390       3.0740199      2.45786
      24.7283       3.4890800      2.16325
      24.8182       3.6571701      1.76635
      24.9088       3.6724801      1.44315
      25.0000       3.5846100      1.20993
      25.0919       3.5143499      1.07479
      25.1845       3.4279499     0.956880
      25.2778       3.3583300     0.905430
      25.3717       3.3143201     0.855970
      25.4664       3.2896600     0.813000
      25.5618       3.2472899     0.752470
      25.6579       3.2091899     0.732990
      25.7547       3.1887701     0.691790
      25.8523       3.1514201     0.667630
      25.9506       3.1301601     0.646090
      26.0496       3.1106801     0.633700
      26.1494       3.1128399     0.607760
      26.2500       3.0970900     0.565730
      26.3514       3.0684800     0.530650
      26.4535       3.0373700     0.514280
      26.5564       3.0271699     0.492760
      26.6602       2.9969599     0.459640
      26.7647       2.9684300     0.444370
      26.8701       2.9354401     0.424100
      26.9763       2.9092600     0.424210
      27.0833       2.8892701     0.400420
      27.1912       2.8413000     0.402260
      27.3000       2.8338001     0.419380
      27.4096       2.8295300     0.407690
      27.5202       2.8127601     0.390290
      27.6316       2.7835701     0.383820
      27.7439       2.7695000     0.380770
      27.8571       2.7401800     0.368890
      27.9713       2.7139900     0.374710
      28.0864       2.6871099     0.372980
      28.2025       2.6524799     0.385540
      28.3195       2.6226101     0.409480
      28.4375       2.5994699     0.446940
      28.5565       2.5911901     0.506090
      28.6765       2.6420600     0.570800
      28.7975       2.7201700     0.567230
      28.9195       2.7687900     0.532600
      29.0425       2.7931199     0.472340
      29.1667       2.7730701     0.428490
      29.2918       2.7599299     0.409000
      29.4181       2.7544899     0.386460
      29.5455       2.7366099     0.348950
      29.6739       2.6948400     0.337280
      29.8035       2.6795399     0.337290
      29.9342       2.6538100     0.322080
      30.0661       2.6214001     0.321560
      30.1991       2.5847499     0.327700
      30.3333       2.5517499     0.354030
      30.4688       2.5274999     0.390260
      30.6054       2.5237200     0.449120
      30.7432       2.5612199     0.498760
      30.8824       2.6209800     0.524400
      31.0227       2.6952000     0.498430
      31.1644       2.7163401     0.438830
      31.3073       2.7181101     0.400060
      31.4516       2.7052801     0.358840
      31.5972       2.6826301     0.337860
      31.7442       2.6627500     0.324020
      31.8925       2.6477101     0.314660
      32.0423       2.6233001     0.306340
      32.1934       2.6149199     0.316690
      32.3460       2.6085300     0.298940
      32.5000       2.5837600     0.303950
      32.6555       2.5796499     0.300710
      32.8125       2.5503099     0.305430
      32.9710       2.5486801     0.329870
      33.1311       2.5524900     0.336020
      33.2927       2.5594201     0.345300
      33.4559       2.5741000     0.343170
      33.6207       2.5822799     0.326470
      33.7871       2.5736401     0.314510
      33.9552       2.5753100     0.309960
      34.1250       2.5737000     0.289670
      34.2965       2.5542400     0.271560
      34.4697       2.5292900     0.269100
      34.6447       2.5083499     0.274650
      34.8214       2.4960599     0.294090
      35.0000       2.5051701     0.296860
      35.1804       2.4873700     0.287980
      35.3627       2.4642200     0.305710
      35.5469       2.4614501     0.345410
      35.7330       2.5015700     0.364480
      35.9211       2.5194399     0.350960
      36.1111       2.5438001     0.341260
      36.3032       2.5366499     0.308180
      36.4973       2.5387199     0.319980
      36.6936       2.5590200     0.279410
      36.8919       2.5258200     0.257570
      37.0924       2.5152800     0.248460
      37.2951       2.4856200     0.244600
      37.5000       2.4838500     0.252200
      37.7072       2.4638700     0.238950
      37.9167       2.4495299     0.256080
      38.1285       2.4461300     0.254140
      38.3427       2.4387300     0.265860
      38.5593       2.4453800     0.262420
      38.7784       2.4514999     0.256650
      39.0000       2.4406300     0.211980
      39.2241       2.3871801     0.218370
      39.4509       2.3781600     0.220920
      39.6802       2.3344700     0.238500
      39.9123       2.3541701     0.255150
      40.1471       2.3146501     0.227760
      40.3846       2.2864399     0.252610
      40.6250       2.2482200     0.251550
      40.8683       2.2072301     0.280640
      41.1145       2.1470900     0.306680
      41.3636       2.0970900     0.382010
      41.6158       2.0341899     0.452380
      41.8712       1.9667799     0.643630
      42.1296       2.0682001     0.912750
      42.3913       2.3829701      1.07223
      42.6563       2.6748199     0.922050
      42.9245       2.7559700     0.784360
      43.1962       2.8277800     0.621750
      43.4713       2.7806301     0.518870
      43.7500       2.7661200     0.443920
      44.0323       2.7098300     0.425270
      44.3182       2.7436800     0.406360
      44.6078       2.7257900     0.341670
      44.9013       2.7035301     0.296240
      45.1987       2.6358700     0.270320
      45.5000       2.6099801     0.311010
      45.8054       2.6491599     0.309160
      46.1149       2.6269801     0.245100
      46.4286       2.5822999     0.275430
      46.7466       2.6163599     0.250290
      47.0690       2.5434401     0.236590
      47.3958       2.5773201     0.293470
      47.7273       2.5969701     0.214860
      48.0634       2.5317099     0.212790
      48.4043       2.5292399     0.216280
      48.7500       2.4821601     0.223040
      49.1007       2.5252399     0.262870
      49.4565       2.5059199     0.144940
      49.8175       2.3637099     0.203570
      50.1838       2.3996601     0.279380
      50.5555       2.3417900     0.259630
      50.9328       2.2745399     0.400510
      51.3158       2.3758900     0.567130
      51.7045       2.5800500     0.577100
      52.0992       2.6625199     0.470940
      52.5000       2.7105501     0.399110
      52.9070       2.6962700     0.293420
      53.3203       2.6563101     0.262820
