

Wavelength [microns]  Re(m)       Im(m)
      6.14251       1.3055426   0.00315420
      6.14571       1.3050933   0.00316618
      6.14891       1.3046430   0.00317821
      6.15212       1.3041916   0.00319030
      6.15532       1.3037392   0.00320245
      6.15852       1.3032857   0.00321466
      6.16172       1.3028312   0.00322692
      6.16492       1.3023756   0.00323923
      6.16812       1.3019189   0.00325161
      6.17132       1.3014611   0.00326404
      6.17452       1.3010023   0.00327653
      6.17772       1.3005424   0.00328908
      6.18092       1.3000815   0.00330169
      6.18412       1.2996193   0.00331436
      6.18732       1.2991562   0.00332709
      6.19052       1.2986919   0.00333988
      6.19372       1.2982265   0.00335273
      6.19692       1.2977600   0.00336564
      6.20012       1.2972925   0.00337861
      6.20332       1.2968237   0.00339164
      6.20652       1.2963539   0.00340474
      6.20972       1.2958831   0.00341789
      6.21292       1.2954110   0.00343111
      6.21612       1.2949378   0.00344440
      6.21932       1.2944634   0.00345774
      6.22252       1.2939880   0.00347115
      6.22572       1.2935115   0.00348463
      6.22892       1.2930337   0.00349817
      6.23212       1.2925549   0.00351177
      6.23532       1.2920748   0.00352544
      6.23852       1.2915937   0.00353917
      6.24172       1.2911112   0.00355297
      6.24492       1.2906277   0.00356684
      6.24813       1.2901430   0.00358078
      6.25133       1.2896571   0.00359478
      6.25453       1.2891701   0.00360885
      6.25773       1.2886819   0.00362299
      6.26093       1.2881925   0.00363719
      6.26413       1.2877020   0.00365147
      6.26733       1.2872102   0.00366581
      6.27053       1.2867172   0.00368023
      6.27373       1.2862231   0.00369471
      6.27693       1.2857275   0.00370927
      6.28013       1.2852310   0.00372390
      6.28333       1.2847331   0.00373860
      6.28653       1.2842340   0.00375337
      6.28973       1.2837337   0.00376821
      6.29293       1.2832322   0.00378313
      6.29613       1.2827294   0.00379812
      6.29933       1.2822255   0.00381318
      6.30253       1.2817202   0.00382832
      6.30573       1.2812136   0.00384354
      6.30893       1.2807059   0.00385883
      6.31213       1.2801970   0.00387419
      6.31533       1.2796866   0.00388963
      6.31853       1.2791750   0.00390515
      6.32173       1.2786623   0.00392075
      6.32493       1.2781482   0.00393642
      6.32813       1.2776328   0.00395217
      6.33133       1.2771161   0.00396800
      6.33453       1.2765980   0.00398391
      6.33773       1.2760789   0.00399989
      6.34093       1.2755584   0.00401597
      6.34413       1.2750363   0.00403212
      6.34733       1.2745132   0.00404835
      6.35053       1.2739886   0.00406466
      6.35374       1.2734628   0.00408106
      6.35694       1.2729356   0.00409753
      6.36014       1.2724071   0.00411410
      6.36334       1.2718772   0.00413074
      6.36654       1.2713460   0.00414747
      6.36974       1.2708135   0.00416429
      6.37294       1.2702796   0.00418119
      6.37614       1.2697443   0.00419818
      6.37934       1.2692076   0.00421525
      6.38254       1.2686697   0.00423241
      6.38574       1.2681303   0.00424966
      6.38894       1.2675896   0.00426699
      6.39214       1.2670473   0.00428442
      6.39534       1.2665038   0.00430193
      6.39854       1.2659589   0.00431954
      6.40174       1.2654126   0.00433723
      6.40494       1.2648648   0.00435502
      6.40814       1.2643156   0.00437290
      6.41134       1.2637650   0.00439087
      6.41454       1.2632130   0.00440894
      6.41774       1.2626594   0.00442710
      6.42094       1.2621045   0.00444535
      6.42414       1.2615484   0.00446370
      6.42734       1.2609905   0.00448214
      6.43054       1.2604313   0.00450068
      6.43374       1.2598705   0.00451932
      6.43694       1.2593083   0.00453806
      6.44014       1.2587447   0.00455689
      6.44334       1.2581797   0.00457582
      6.44654       1.2576129   0.00459485
      6.44975       1.2570448   0.00461398
      6.45295       1.2564753   0.00463321
      6.45615       1.2559041   0.00465255
      6.45935       1.2553316   0.00467198
      6.46255       1.2547573   0.00469152
      6.46575       1.2541817   0.00471116
      6.46895       1.2536044   0.00473091
      6.47215       1.2530258   0.00475076
      6.47535       1.2524456   0.00477072
      6.47855       1.2518636   0.00479079
      6.48175       1.2512804   0.00481095
      6.48495       1.2506955   0.00483124
      6.48815       1.2501090   0.00485162
      6.49135       1.2495208   0.00487212
      6.49455       1.2489312   0.00489273
      6.49775       1.2483401   0.00491344
      6.50095       1.2477472   0.00493427
      6.50415       1.2471528   0.00495521
      6.50735       1.2465568   0.00497627
      6.51055       1.2459593   0.00499743
      6.51375       1.2453598   0.00501872
      6.51695       1.2447591   0.00504012
      6.52015       1.2441564   0.00506164
      6.52335       1.2435523   0.00508327
      6.52655       1.2429465   0.00510502
      6.52975       1.2423393   0.00512689
      6.53295       1.2417300   0.00514888
      6.53615       1.2411191   0.00517099
      6.53935       1.2405068   0.00519322
      6.54255       1.2398925   0.00521558
      6.54575       1.2392768   0.00523804
      6.54895       1.2386591   0.00526065
      6.55216       1.2380399   0.00528337
      6.55536       1.2374190   0.00530622
      6.55856       1.2367965   0.00532920
      6.56176       1.2361720   0.00535230
      6.56496       1.2355458   0.00537554
      6.56816       1.2349179   0.00539890
      6.57136       1.2342883   0.00542239
      6.57456       1.2336570   0.00544601
      6.57776       1.2330239   0.00546977
      6.58096       1.2323890   0.00549366
      6.58416       1.2317523   0.00551768
      6.58736       1.2311140   0.00554183
      6.59056       1.2304736   0.00556612
      6.59376       1.2298315   0.00559055
      6.59696       1.2291877   0.00561512
      6.60016       1.2285421   0.00563982
      6.60336       1.2278945   0.00566467
      6.60656       1.2272451   0.00568966
      6.60976       1.2265939   0.00571479
      6.61296       1.2259409   0.00574005
      6.61616       1.2252861   0.00576546
      6.61936       1.2246293   0.00579103
      6.62256       1.2239707   0.00581673
      6.62576       1.2233101   0.00584259
      6.62896       1.2226477   0.00586859
      6.63216       1.2219836   0.00589473
      6.63536       1.2213172   0.00592104
      6.63856       1.2206490   0.00594749
      6.64176       1.2199789   0.00597409
      6.64496       1.2193072   0.00600084
      6.64816       1.2186332   0.00602776
      6.65137       1.2179573   0.00605483
      6.65457       1.2172794   0.00608205
      6.65777       1.2165998   0.00610943
      6.66097       1.2159179   0.00613698
      6.66417       1.2152342   0.00616468
      6.66737       1.2145483   0.00619255
      6.67057       1.2138605   0.00622058
      6.67377       1.2131709   0.00624876
      6.67697       1.2124790   0.00627712
      6.68017       1.2117852   0.00630565
      6.68337       1.2110893   0.00633434
      6.68657       1.2103914   0.00636320
      6.68977       1.2096914   0.00639223
      6.69297       1.2089894   0.00642143
      6.69617       1.2082852   0.00645081
      6.69937       1.2075790   0.00648037
      6.70257       1.2068708   0.00651009
      6.70577       1.2061603   0.00653999
      6.70897       1.2054478   0.00657008
      6.71217       1.2047333   0.00660034
      6.71537       1.2040163   0.00663078
      6.71857       1.2032974   0.00666140
      6.72177       1.2025764   0.00669221
      6.72497       1.2018528   0.00672321
      6.72817       1.2011274   0.00675439
      6.73137       1.2003998   0.00678576
      6.73457       1.1996700   0.00681732
      6.73777       1.1989380   0.00684907
      6.74097       1.1982038   0.00688101
      6.74417       1.1974672   0.00691315
      6.74737       1.1967286   0.00694548
      6.75058       1.1959876   0.00697801
      6.75378       1.1952442   0.00701074
      6.75698       1.1944988   0.00704366
      6.76018       1.1937511   0.00707679
      6.76338       1.1930008   0.00711013
      6.76658       1.1922485   0.00714367
      6.76978       1.1914939   0.00717741
      6.77298       1.1907367   0.00721136
      6.77618       1.1899774   0.00724553
      6.77938       1.1892155   0.00727990
      6.78258       1.1884516   0.00731449
      6.78578       1.1876853   0.00734928
      6.78898       1.1869162   0.00738431
      6.79218       1.1861451   0.00741955
      6.79538       1.1853714   0.00745500
      6.79858       1.1845953   0.00749068
      6.80178       1.1838169   0.00752658
      6.80498       1.1830361   0.00756270
      6.80818       1.1822525   0.00759906
      6.81138       1.1814666   0.00763565
      6.81458       1.1806785   0.00767245
      6.81778       1.1798875   0.00770951
      6.82098       1.1790943   0.00774679
      6.82418       1.1782986   0.00778430
      6.82738       1.1775001   0.00782206
      6.83058       1.1766992   0.00786005
      6.83378       1.1758957   0.00789829
      6.83698       1.1750898   0.00793677
      6.84018       1.1742811   0.00797551
      6.84338       1.1734700   0.00801448
      6.84658       1.1726562   0.00805371
      6.84978       1.1718397   0.00809318
      6.85299       1.1710207   0.00813292
      6.85619       1.1701992   0.00817291
      6.85939       1.1693747   0.00821316
      6.86259       1.1685477   0.00825367
      6.86579       1.1677181   0.00829444
      6.86899       1.1668855   0.00833548
      6.87219       1.1660506   0.00837678
      6.87539       1.1652126   0.00841836
      6.87859       1.1643722   0.00846020
      6.88179       1.1635288   0.00850232
      6.88499       1.1626828   0.00854472
      6.88819       1.1618338   0.00858739
      6.89139       1.1609821   0.00863035
      6.89459       1.1601276   0.00867359
      6.89779       1.1592703   0.00871712
      6.90099       1.1584103   0.00876092
      6.90419       1.1575472   0.00880503
      6.90739       1.1566814   0.00884942
      6.91059       1.1558126   0.00889412
      6.91379       1.1549410   0.00893911
      6.91699       1.1540664   0.00898439
      6.92019       1.1531889   0.00902999
      6.92339       1.1523086   0.00907588
      6.92659       1.1514250   0.00912210
      6.92979       1.1505389   0.00916860
      6.93299       1.1496495   0.00921544
      6.93619       1.1487572   0.00926259
      6.93939       1.1478616   0.00931005
      6.94259       1.1469632   0.00935784
      6.94579       1.1460617   0.00940596
      6.94899       1.1451572   0.00945440
      6.95220       1.1442496   0.00950317
      6.95540       1.1433387   0.00955228
      6.95860       1.1424251   0.00960171
      6.96180       1.1415077   0.00965150
      6.96500       1.1405877   0.00970161
      6.96820       1.1396644   0.00975208
      6.97140       1.1387378   0.00980289
      6.97460       1.1378081   0.00985406
      6.97780       1.1368752   0.00990558
      6.98100       1.1359390   0.00995745
      6.98420       1.1349994    0.0100097
      6.98740       1.1340568    0.0100623
      6.99060       1.1331106    0.0101153
      6.99380       1.1321615    0.0101686
      6.99700       1.1312085    0.0102223
      7.00020       1.1302525    0.0102764
      7.00340       1.1292930    0.0103309
      7.00660       1.1283306    0.0103857
      7.00980       1.1273642    0.0104409
      7.01300       1.1263946    0.0104966
      7.01620       1.1254213    0.0105526
      7.01940       1.1244448    0.0106090
      7.02260       1.1234648    0.0106658
      7.02580       1.1224813    0.0107231
      7.02900       1.1214942    0.0107807
      7.03220       1.1205035    0.0108387
      7.03540       1.1195097    0.0108972
      7.03860       1.1185118    0.0109561
      7.04180       1.1175106    0.0110154
      7.04500       1.1165054    0.0110751
      7.04820       1.1154966    0.0111353
      7.05140       1.1144845    0.0111959
      7.05461       1.1134685    0.0112569
      7.05781       1.1124489    0.0113184
      7.06101       1.1114255    0.0113803
      7.06421       1.1103985    0.0114427
      7.06741       1.1093675    0.0115055
      7.07061       1.1083329    0.0115688
      7.07381       1.1072940    0.0116326
      7.07701       1.1062518    0.0116968
      7.08021       1.1052057    0.0117615
      7.08341       1.1041554    0.0118267
      7.08661       1.1031013    0.0118923
      7.08981       1.1020434    0.0119585
      7.09301       1.1009818    0.0120251
      7.09621       1.0999157    0.0120923
      7.09941       1.0988460    0.0121599
      7.10261       1.0977716    0.0122280
      7.10581       1.0966940    0.0122967
      7.10901       1.0956119    0.0123658
      7.11221       1.0945257    0.0124355
      7.11541       1.0934354    0.0125057
      7.11861       1.0923412    0.0125765
      7.12181       1.0912427    0.0126477
      7.12501       1.0901399    0.0127195
      7.12821       1.0890329    0.0127919
      7.13141       1.0879215    0.0128648
      7.13461       1.0868063    0.0129383
      7.13781       1.0856864    0.0130123
      7.14101       1.0845625    0.0130869
      7.14421       1.0834337    0.0131621
      7.14741       1.0823010    0.0132378
      7.15061       1.0811639    0.0133141
      7.15382       1.0800220    0.0133910
      7.15702       1.0788759    0.0134685
      7.16022       1.0777251    0.0135466
      7.16342       1.0765703    0.0136253
      7.16662       1.0754105    0.0137047
      7.16982       1.0742464    0.0137846
      7.17302       1.0730771    0.0138652
      7.17622       1.0719038    0.0139464
      7.17942       1.0707260    0.0140282
      7.18262       1.0695429    0.0141107
      7.18582       1.0683554    0.0141938
      7.18902       1.0671631    0.0142776
      7.19222       1.0659661    0.0143620
      7.19542       1.0647643    0.0144472
      7.19862       1.0635577    0.0145329
      7.20182       1.0623459    0.0146194
      7.20502       1.0611296    0.0147066
      7.20822       1.0599084    0.0147944
      7.21142       1.0586816    0.0148830
      7.21462       1.0574503    0.0149723
      7.21782       1.0562139    0.0150623
      7.22102       1.0549725    0.0151530
      7.22422       1.0537261    0.0152445
      7.22742       1.0524744    0.0153367
      7.23062       1.0512176    0.0154296
      7.23382       1.0499556    0.0155233
      7.23702       1.0486884    0.0156178
      7.24022       1.0474157    0.0157130
      7.24342       1.0461380    0.0158090
      7.24662       1.0448548    0.0159058
      7.24983       1.0435663    0.0160034
      7.25303       1.0422726    0.0161018
      7.25623       1.0409734    0.0162010
      7.25943       1.0396682    0.0163011
      7.26263       1.0383581    0.0164019
      7.26583       1.0370421    0.0165036
      7.26903       1.0357205    0.0166062
      7.27223       1.0343935    0.0167096
      7.27543       1.0330607    0.0168139
      7.27863       1.0317222    0.0169190
      7.28183       1.0303781    0.0170251
      7.28503       1.0290282    0.0171320
      7.28823       1.0276719    0.0172399
      7.29143       1.0263108    0.0173486
      7.29463       1.0249430    0.0174582
      7.29783       1.0235692    0.0175689
      7.30103       1.0221901    0.0176804
      7.30423       1.0208045    0.0177929
      7.30743       1.0194128    0.0179063
      7.31063       1.0180150    0.0180208
      7.31383       1.0166111    0.0181362
      7.31703       1.0152010    0.0182526
      7.32023       1.0137850    0.0183700
      7.32343       1.0123622    0.0184884
      7.32663       1.0109335    0.0186078
      7.32983       1.0094979    0.0187284
      7.33303       1.0080560    0.0188499
      7.33623       1.0066080    0.0189725
      7.33943       1.0051533    0.0190962
      7.34263       1.0036918    0.0192210
      7.34583       1.0022240    0.0193468
      7.34903       1.0007497    0.0194738
      7.35224      0.99926811    0.0196019
      7.35544      0.99778044    0.0197311
      7.35864      0.99628526    0.0198615
      7.36184      0.99478376    0.0199930
      7.36504      0.99327523    0.0201257
      7.36824      0.99175966    0.0202596
      7.37144      0.99023700    0.0203947
      7.37464      0.98870701    0.0205311
      7.37784      0.98717046    0.0206686
      7.38104      0.98562664    0.0208074
      7.38424      0.98407590    0.0209474
      7.38744      0.98251718    0.0210887
      7.39064      0.98095137    0.0212314
      7.39384      0.97937810    0.0213753
      7.39704      0.97779745    0.0215205
      7.40024      0.97620958    0.0216670
      7.40344      0.97461361    0.0218149
      7.40664      0.97301042    0.0219642
      7.40984      0.97139943    0.0221148
      7.41304      0.96978098    0.0222668
      7.41624      0.96815413    0.0224203
      7.41944      0.96651989    0.0225751
      7.42264      0.96487743    0.0227315
      7.42584      0.96322733    0.0228892
      7.42904      0.96156907    0.0230485
