Optical constants for amorphous carbon - ACAR sample.  Data from Zubko V. et al 1996, MNRAS, 282, 1321-1329,  Range 0.05 - 1984 mic, 1245 entries. [ZI, Aug 96

Wavelength [microns]  Re(m)       Im(m)
      10.8000       3.4080000     0.966900
      10.8900       3.4119999     0.967100
      10.9900       3.4150000     0.964500
      11.0800       3.4159999     0.966600
      11.1800       3.4189999     0.970200
      11.2800       3.4250000     0.971800
      11.3700       3.4289999     0.970900
      11.4700       3.4319999     0.973200
      11.5700       3.4360001     0.974100
      11.6800       3.4389999     0.975900
      11.7800       3.4440000     0.979200
      11.8800       3.4500000     0.978600
      11.9800       3.4519999     0.977500
      12.0900       3.4540000     0.979400
      12.1900       3.4540000     0.980800
      12.3000       3.4570000     0.989800
      12.4100       3.4640000     0.992200
      12.5200       3.4690001     0.994200
      12.6200       3.4719999     0.996700
      12.7400       3.4779999      1.00400
      12.8500       3.4860001      1.00600
      12.9600       3.4909999      1.00500
      13.0700       3.4940000      1.00900
      13.1900       3.5000000      1.01500
      13.3000       3.5079999      1.01800
      13.4200       3.5139999      1.01900
      13.5300       3.5200000      1.02300
      13.6500       3.5270000      1.02600
      13.7700       3.5350001      1.03000
      13.8900       3.5439999      1.03100
      14.0100       3.5510001      1.03200
      14.1300       3.5599999      1.03300
      14.2600       3.5680001      1.03000
      14.3800       3.5720000      1.02700
      14.5100       3.5780001      1.03200
      14.6300       3.5840001      1.02600
      14.7600       3.5860000      1.02900
      14.8900       3.5910001      1.03000
      15.0200       3.5969999      1.03300
      15.1500       3.6040001      1.03100
      15.2800       3.6070001      1.02900
      15.4200       3.6110001      1.03400
      15.5500       3.6180000      1.03500
      15.6900       3.6229999      1.03200
      15.8300       3.6270001      1.03600
      15.9600       3.6320000      1.03300
      16.1000       3.6329999      1.03400
      16.2400       3.6380000      1.03800
      16.3800       3.6420000      1.03600
      16.5300       3.6440001      1.03900
      16.6700       3.6480000      1.04200
      16.8200       3.6510000      1.04400
      16.9600       3.6550000      1.04900
      17.1100       3.6589999      1.05100
      17.2600       3.6659999      1.05800
      17.4100       3.6750000      1.05700
      17.5600       3.6789999      1.05600
      17.7200       3.6810000      1.05700
      17.8700       3.6849999      1.06200
      18.0300       3.6919999      1.06700
      18.1900       3.6980000      1.06300
      18.3400       3.7000000      1.06500
      18.5000       3.7019999      1.06700
      18.6700       3.7049999      1.07300
      18.8300       3.7100000      1.07400
      18.9900       3.7140000      1.08000
      19.1600       3.7179999      1.08100
      19.3300       3.7219999      1.08700
      19.5000       3.7260001      1.08900
      19.6700       3.7300000      1.09500
      19.8400       3.7309999      1.09500
      20.0100       3.7309999      1.10800
      20.1800       3.7390001      1.12300
      20.3600       3.7539999      1.13200
      20.5400       3.7690001      1.13500
      20.7200       3.7809999      1.13400
      20.9000       3.7900000      1.13200
      21.0800       3.7960000      1.13100
      21.2600       3.8010001      1.13200
      21.4500       3.8060000      1.13400
      21.6400       3.8120000      1.13800
      21.8300       3.8199999      1.14200
      22.0200       3.8280001      1.14500
      22.2100       3.8360000      1.14700
      22.4000       3.8440001      1.14800
      22.6000       3.8520000      1.14900
      22.8000       3.8590000      1.14900
      22.9900       3.8650000      1.15000
      23.2000       3.8710001      1.15000
      23.4000       3.8770001      1.15100
      23.6000       3.8820000      1.15300
      23.8100       3.8870001      1.15500
      24.0200       3.8920000      1.15700
      24.2300       3.8970001      1.16000
      24.4400       3.9020000      1.16300
      24.6500       3.9070001      1.16600
      24.8700       3.9130001      1.16900
      25.0800       3.9189999      1.17300
      25.3000       3.9260001      1.17700
      25.5200       3.9330001      1.18000
      25.7400       3.9400001      1.18400
      25.9700       3.9470000      1.18700
      26.2000       3.9549999      1.18900
      26.4200       3.9619999      1.19100
      26.6600       3.9679999      1.19300
      26.8900       3.9740000      1.19500
      27.1200       3.9800000      1.19800
      27.3600       3.9849999      1.20100
      27.6000       3.9909999      1.20500
      27.8400       3.9979999      1.20900
      28.0800       4.0050001      1.21300
      28.3300       4.0120001      1.21800
      28.5700       4.0190001      1.22200
      28.8200       4.0260000      1.22600
      29.0800       4.0339999      1.23100
      29.3300       4.0419998      1.23600
      29.5900       4.0510001      1.24100
      29.8400       4.0609999      1.24600
      30.1000       4.0720000      1.25000
      30.3700       4.0819998      1.25300
      30.6300       4.0929999      1.25600
      30.9000       4.1030002      1.25800
      31.1700       4.1129999      1.26200
      31.4400       4.1250000      1.26500
      31.7100       4.1380000      1.26800
      31.9900       4.1520000      1.26900
      32.2700       4.1650000      1.26600
      32.5500       4.1780000      1.26200
      32.8400       4.1869998      1.25700
      33.1200       4.1950002      1.25300
      33.4100       4.2010002      1.25000
      33.7000       4.2069998      1.24800
      34.0000       4.2129998      1.24700
      34.2900       4.2189999      1.24600
      34.5900       4.2259998      1.24600
      34.9000       4.2319999      1.24500
      35.2000       4.2389998      1.24400
      35.5100       4.2449999      1.24200
      35.8200       4.2500000      1.24000
      36.1300       4.2550001      1.23900
